"","plot_id","BC","MT","AG","UB","PT","RC","AC","ZH","LT","mx","mx2","mx3"
"1","P_00001",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"2","P_00002",0.655010438413361,0.344989561586639,0,0,0,0,0,0,0,"BC","MT","AG"
"3","P_00003",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"4","P_00004",0.947286012526096,0.052713987473904,0,0,0,0,0,0,0,"BC","MT","AG"
"5","P_00005",0.968162839248434,0,0,0,0,0.0318371607515658,0,0,0,"BC","RC","MT"
"6","P_00006",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"7","P_00010",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"8","P_00015",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"9","P_00018",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"10","P_00022",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"11","P_00026",0.675365344467641,0,0,0,0,0.324634655532359,0,0,0,"BC","RC","MT"
"12","P_00030",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"13","P_00036",0.795929018789144,0,0,0,0.204070981210856,0,0,0,0,"BC","PT","MT"
"14","P_00037",0.882045929018789,0,0,0,0.117954070981211,0,0,0,0,"BC","PT","MT"
"15","P_00042",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"16","P_00045",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"17","P_01198",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"18","P_00047",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"19","P_00048",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"20","P_00050",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"21","P_00051",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"22","P_00053",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"23","P_00054",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"24","P_00055",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"25","P_00061",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"26","P_00066",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"27","P_00070",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"28","P_00072",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"29","P_00073",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"30","P_00077",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"31","P_00084",0.873173277661795,0,0,0,0,0.126826722338205,0,0,0,"BC","RC","MT"
"32","P_00087",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"33","P_00088",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"34","P_00089",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"35","P_00093",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"36","P_00095",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"37","P_00098",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"38","P_00102",0.901356993736952,0.098643006263048,0,0,0,0,0,0,0,"BC","MT","AG"
"39","P_00109",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"40","P_00113",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"41","P_00114",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"42","P_00116",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"43","P_00119",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"44","P_00123",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"45","P_00124",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"46","P_00131",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"47","P_00133",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"48","P_00135",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"49","P_00138",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"50","P_00141",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
"51","P_00143",1,0,0,0,0,0,0,0,0,"BC","MT","AG"
