"","BC","MT","AG","UB","PT","RC","AC","ZH","LT"
"P_00001",1,0,0,0,0,0,0,0,0
"P_00002",1,0,0,0,0,0,0,0,0
"P_00003",1,0,0,0,0,0,0,0,0
"P_00004",1,0,0,0,0,0,0,0,0
"P_00005",1,0,0,0,0,0,0,0,0
"P_00006",1,0,0,0,0,0,0,0,0
"P_00010",1,0,0,0,0,0,0,0,0
"P_00015",1,0,0,0,0,0,0,0,0
"P_00018",1,0,0,0,0,0,0,0,0
"P_00022",1,0,0,0,0,0,0,0,0
"P_00026",1,0,0,0,0,0,0,0,0
"P_00030",1,0,0,0,0,0,0,0,0
"P_00036",1,0,0,0,0,0,0,0,0
"P_00037",1,0,0,0,0,0,0,0,0
"P_00042",1,0,0,0,0,0,0,0,0
"P_00045",1,0,0,0,0,0,0,0,0
"P_01198",1,0,0,0,0,0,0,0,0
"P_00047",1,0,0,0,0,0,0,0,0
"P_00048",1,0,0,0,0,0,0,0,0
"P_00050",1,0,0,0,0,0,0,0,0
"P_00051",1,0,0,0,0,0,0,0,0
"P_00053",1,0,0,0,0,0,0,0,0
"P_00054",1,0,0,0,0,0,0,0,0
"P_00055",1,0,0,0,0,0,0,0,0
"P_00061",1,0,0,0,0,0,0,0,0
"P_00066",1,0,0,0,0,0,0,0,0
"P_00070",1,0,0,0,0,0,0,0,0
"P_00072",1,0,0,0,0,0,0,0,0
"P_00073",1,0,0,0,0,0,0,0,0
"P_00077",1,0,0,0,0,0,0,0,0
"P_00084",1,0,0,0,0,0,0,0,0
"P_00087",1,0,0,0,0,0,0,0,0
"P_00088",1,0,0,0,0,0,0,0,0
"P_00089",1,0,0,0,0,0,0,0,0
"P_00093",1,0,0,0,0,0,0,0,0
"P_00095",1,0,0,0,0,0,0,0,0
"P_00098",1,0,0,0,0,0,0,0,0
"P_00102",1,0,0,0,0,0,0,0,0
"P_00109",1,0,0,0,0,0,0,0,0
"P_00113",1,0,0,0,0,0,0,0,0
"P_00114",1,0,0,0,0,0,0,0,0
"P_00116",1,0,0,0,0,0,0,0,0
"P_00119",1,0,0,0,0,0,0,0,0
"P_00123",1,0,0,0,0,0,0,0,0
"P_00124",1,0,0,0,0,0,0,0,0
"P_00131",1,0,0,0,0,0,0,0,0
"P_00133",1,0,0,0,0,0,0,0,0
"P_00135",1,0,0,0,0,0,0,0,0
"P_00138",1,0,0,0,0,0,0,0,0
"P_00141",1,0,0,0,0,0,0,0,0
"P_00143",1,0,0,0,0,0,0,0,0
"P_00145",1,0,0,0,0,0,0,0,0
"P_00147",1,0,0,0,0,0,0,0,0
"P_00149",1,0,0,0,0,0,0,0,0
"P_00151",1,0,0,0,0,0,0,0,0
"P_00152",1,0,0,0,0,0,0,0,0
"P_00153",1,0,0,0,0,0,0,0,0
"P_00160",1,0,0,0,0,0,0,0,0
"P_00161",1,0,0,0,0,0,0,0,0
"P_00169",1,0,0,0,0,0,0,0,0
"P_00172",1,0,0,0,0,0,0,0,0
"P_00177",1,0,0,0,0,0,0,0,0
"P_00185",1,0,0,0,0,0,0,0,0
"P_00187",1,0,0,0,0,0,0,0,0
"P_00190",1,0,0,0,0,0,0,0,0
"P_00192",1,0,0,0,0,0,0,0,0
"P_00200",1,0,0,0,0,0,0,0,0
"P_00201",1,0,0,0,0,0,0,0,0
"P_00203",1,0,0,0,0,0,0,0,0
"P_00204",1,0,0,0,0,0,0,0,0
"P_00207",1,0,0,0,0,0,0,0,0
"P_00211",1,0,0,0,0,0,0,0,0
"P_00212",1,0,0,0,0,0,0,0,0
"P_00216",1,0,0,0,0,0,0,0,0
"P_00219",1,0,0,0,0,0,0,0,0
"P_00221",1,0,0,0,0,0,0,0,0
"P_00227",1,0,0,0,0,0,0,0,0
"P_00231",1,0,0,0,0,0,0,0,0
"P_00234",1,0,0,0,0,0,0,0,0
"P_00236",1,0,0,0,0,0,0,0,0
"P_00237",1,0,0,0,0,0,0,0,0
"P_00242",1,0,0,0,0,0,0,0,0
"P_00244",1,0,0,0,0,0,0,0,0
"P_00245",1,0,0,0,0,0,0,0,0
"P_00246",1,0,0,0,0,0,0,0,0
"P_00249",1,0,0,0,0,0,0,0,0
"P_00250",1,0,0,0,0,0,0,0,0
"P_00254",1,0,0,0,0,0,0,0,0
"P_00258",1,0,0,0,0,0,0,0,0
"P_00260",1,0,0,0,0,0,0,0,0
"P_00262",1,0,0,0,0,0,0,0,0
"P_00264",1,0,0,0,0,0,0,0,0
"P_00267",1,0,0,0,0,0,0,0,0
"P_00270",1,0,0,0,0,0,0,0,0
"P_00273",1,0,0,0,0,0,0,0,0
"P_00274",1,0,0,0,0,0,0,0,0
"P_00275",1,0,0,0,0,0,0,0,0
"P_00279",1,0,0,0,0,0,0,0,0
"P_00283",1,0,0,0,0,0,0,0,0
"P_00284",1,0,0,0,0,0,0,0,0
"P_00285",1,0,0,0,0,0,0,0,0
"P_00289",1,0,0,0,0,0,0,0,0
"P_00290",1,0,0,0,0,0,0,0,0
"P_00293",1,0,0,0,0,0,0,0,0
"P_00295",1,0,0,0,0,0,0,0,0
"P_00297",1,0,0,0,0,0,0,0,0
"P_00299",1,0,0,0,0,0,0,0,0
"P_00302",1,0,0,0,0,0,0,0,0
"P_00306",1,0,0,0,0,0,0,0,0
"P_00311",1,0,0,0,0,0,0,0,0
"P_00313",1,0,0,0,0,0,0,0,0
"P_00314",1,0,0,0,0,0,0,0,0
"P_00315",1,0,0,0,0,0,0,0,0
"P_00317",1,0,0,0,0,0,0,0,0
"P_00318",1,0,0,0,0,0,0,0,0
"P_00323",1,0,0,0,0,0,0,0,0
"P_00324",1,0,0,0,0,0,0,0,0
"P_00325",1,0,0,0,0,0,0,0,0
"P_00331",1,0,0,0,0,0,0,0,0
"P_00332",1,0,0,0,0,0,0,0,0
"P_00333",1,0,0,0,0,0,0,0,0
"P_00336",1,0,0,0,0,0,0,0,0
"P_00338",1,0,0,0,0,0,0,0,0
"P_00339",1,0,0,0,0,0,0,0,0
"P_00341",1,0,0,0,0,0,0,0,0
"P_00343",1,0,0,0,0,0,0,0,0
"P_00346",1,0,0,0,0,0,0,0,0
"P_00349",1,0,0,0,0,0,0,0,0
"P_00350",1,0,0,0,0,0,0,0,0
"P_00351",1,0,0,0,0,0,0,0,0
"P_00353",1,0,0,0,0,0,0,0,0
"P_00356",1,0,0,0,0,0,0,0,0
"P_00358",1,0,0,0,0,0,0,0,0
"P_01685",1,0,0,0,0,0,0,0,0
"P_00362",1,0,0,0,0,0,0,0,0
"P_00366",1,0,0,0,0,0,0,0,0
"P_00368",1,0,0,0,0,0,0,0,0
"P_00371",1,0,0,0,0,0,0,0,0
"P_00374",1,0,0,0,0,0,0,0,0
"P_00375",1,0,0,0,0,0,0,0,0
"P_00378",1,0,0,0,0,0,0,0,0
"P_00379",1,0,0,0,0,0,0,0,0
"P_00387",1,0,0,0,0,0,0,0,0
"P_00391",0,1,0,0,0,0,0,0,0
"P_00399",0,1,0,0,0,0,0,0,0
"P_00404",1,0,0,0,0,0,0,0,0
"P_00407",1,0,0,0,0,0,0,0,0
"P_00412",0.480769230769231,0.519230769230769,0,0,0,0,0,0,0
"P_00414",1,0,0,0,0,0,0,0,0
"P_00422",1,0,0,0,0,0,0,0,0
"P_00424",1,0,0,0,0,0,0,0,0
"P_00427",1,0,0,0,0,0,0,0,0
"P_00428",1,0,0,0,0,0,0,0,0
"P_00429",1,0,0,0,0,0,0,0,0
"P_00433",1,0,0,0,0,0,0,0,0
"P_00434",0.673076923076923,0,0,0,0,0.326923076923077,0,0,0
"P_00435",1,0,0,0,0,0,0,0,0
"P_00439",1,0,0,0,0,0,0,0,0
"P_00440",1,0,0,0,0,0,0,0,0
"P_00443",1,0,0,0,0,0,0,0,0
"P_00445",1,0,0,0,0,0,0,0,0
"P_00448",1,0,0,0,0,0,0,0,0
"P_00450",1,0,0,0,0,0,0,0,0
"P_00452",1,0,0,0,0,0,0,0,0
"P_00453",1,0,0,0,0,0,0,0,0
"P_00458",1,0,0,0,0,0,0,0,0
"P_00460",1,0,0,0,0,0,0,0,0
"P_00464",1,0,0,0,0,0,0,0,0
"P_00466",1,0,0,0,0,0,0,0,0
"P_00468",1,0,0,0,0,0,0,0,0
"P_00473",1,0,0,0,0,0,0,0,0
"P_00475",1,0,0,0,0,0,0,0,0
"P_00478",1,0,0,0,0,0,0,0,0
"P_00480",1,0,0,0,0,0,0,0,0
"P_00481",1,0,0,0,0,0,0,0,0
"P_00484",1,0,0,0,0,0,0,0,0
"P_00486",1,0,0,0,0,0,0,0,0
"P_00488",1,0,0,0,0,0,0,0,0
"P_00492",1,0,0,0,0,0,0,0,0
"P_00496",1,0,0,0,0,0,0,0,0
"P_00499",1,0,0,0,0,0,0,0,0
"P_00500",1,0,0,0,0,0,0,0,0
"P_00505",1,0,0,0,0,0,0,0,0
"P_00507",1,0,0,0,0,0,0,0,0
"P_00509",1,0,0,0,0,0,0,0,0
"P_00512",1,0,0,0,0,0,0,0,0
"P_00516",1,0,0,0,0,0,0,0,0
"P_00518",1,0,0,0,0,0,0,0,0
"P_00520",1,0,0,0,0,0,0,0,0
"P_00521",1,0,0,0,0,0,0,0,0
"P_00522",1,0,0,0,0,0,0,0,0
"P_00524",1,0,0,0,0,0,0,0,0
"P_00534",1,0,0,0,0,0,0,0,0
"P_00535",1,0,0,0,0,0,0,0,0
"P_00539",1,0,0,0,0,0,0,0,0
"P_00541",1,0,0,0,0,0,0,0,0
"P_00543",1,0,0,0,0,0,0,0,0
"P_00546",1,0,0,0,0,0,0,0,0
"P_00551",1,0,0,0,0,0,0,0,0
"P_00553",1,0,0,0,0,0,0,0,0
"P_00557",1,0,0,0,0,0,0,0,0
"P_00559",1,0,0,0,0,0,0,0,0
"P_00562",1,0,0,0,0,0,0,0,0
"P_00565",1,0,0,0,0,0,0,0,0
"P_00569",1,0,0,0,0,0,0,0,0
"P_00571",1,0,0,0,0,0,0,0,0
"P_00573",1,0,0,0,0,0,0,0,0
"P_00575",1,0,0,0,0,0,0,0,0
"P_00577",1,0,0,0,0,0,0,0,0
"P_00583",1,0,0,0,0,0,0,0,0
"P_00589",1,0,0,0,0,0,0,0,0
"P_00593",1,0,0,0,0,0,0,0,0
"P_00598",1,0,0,0,0,0,0,0,0
"P_00599",1,0,0,0,0,0,0,0,0
"P_00603",1,0,0,0,0,0,0,0,0
"P_00607",1,0,0,0,0,0,0,0,0
"P_00611",1,0,0,0,0,0,0,0,0
"P_00615",1,0,0,0,0,0,0,0,0
"P_01879",1,0,0,0,0,0,0,0,0
"P_00618",1,0,0,0,0,0,0,0,0
"P_00620",0,0,0,0,1,0,0,0,0
"P_00622",1,0,0,0,0,0,0,0,0
"P_00625",1,0,0,0,0,0,0,0,0
"P_00628",1,0,0,0,0,0,0,0,0
"P_00629",1,0,0,0,0,0,0,0,0
"P_00630",0,1,0,0,0,0,0,0,0
"P_00632",1,0,0,0,0,0,0,0,0
"P_00635",1,0,0,0,0,0,0,0,0
"P_00645",1,0,0,0,0,0,0,0,0
"P_00649",1,0,0,0,0,0,0,0,0
"P_00653",1,0,0,0,0,0,0,0,0
"P_00656",1,0,0,0,0,0,0,0,0
"P_00661",1,0,0,0,0,0,0,0,0
"P_00665",1,0,0,0,0,0,0,0,0
"P_00668",1,0,0,0,0,0,0,0,0
"P_00672",1,0,0,0,0,0,0,0,0
"P_00678",1,0,0,0,0,0,0,0,0
"P_00679",1,0,0,0,0,0,0,0,0
"P_00683",1,0,0,0,0,0,0,0,0
"P_00684",1,0,0,0,0,0,0,0,0
"P_00688",1,0,0,0,0,0,0,0,0
"P_00691",1,0,0,0,0,0,0,0,0
"P_00692",1,0,0,0,0,0,0,0,0
"P_00701",0.865384615384615,0.134615384615385,0,0,0,0,0,0,0
"P_00704",1,0,0,0,0,0,0,0,0
"P_00709",1,0,0,0,0,0,0,0,0
"P_00721",1,0,0,0,0,0,0,0,0
"P_00724",1,0,0,0,0,0,0,0,0
"P_00726",1,0,0,0,0,0,0,0,0
"P_00730",0,1,0,0,0,0,0,0,0
"P_00733",1,0,0,0,0,0,0,0,0
"P_00741",1,0,0,0,0,0,0,0,0
"P_00744",1,0,0,0,0,0,0,0,0
"P_00746",1,0,0,0,0,0,0,0,0
"P_00747",1,0,0,0,0,0,0,0,0
"P_00749",1,0,0,0,0,0,0,0,0
"P_00751",1,0,0,0,0,0,0,0,0
"P_00753",1,0,0,0,0,0,0,0,0
"P_00754",1,0,0,0,0,0,0,0,0
"P_00755",1,0,0,0,0,0,0,0,0
"P_00757",1,0,0,0,0,0,0,0,0
"P_00758",1,0,0,0,0,0,0,0,0
"P_00764",1,0,0,0,0,0,0,0,0
"P_00766",1,0,0,0,0,0,0,0,0
"P_00767",1,0,0,0,0,0,0,0,0
