"","plot_id","mx1_r4_09_rw","mx2_r4_09_rw","mx3_r4_09_rw","mx1_r100_09_rw","mx2_r100_09_rw","mx3_r100_09_rw","mx1_r4_09_rc","mx2_r409_rc","mx3_r4_09_rc","mx1_r100_09_rc","mx2_r100_09_rc","mx3_r100_09_rc"
"1","P_00001","7","1","2","7","11","1","BC","MT","AG","BC","MT","AG"
"2","P_00002","7","1","2","10","7","8","BC","MT","AG","BC","MT","AG"
"3","P_00003","7","1","2","7","10","14","BC","MT","AG","BC","MT","PT"
"4","P_00004","8","1","2","8","10","7","BC","MT","AG","BC","MT","AG"
"5","P_00005","8","1","2","8","18","10","BC","MT","AG","BC","RC","MT"
"6","P_00006","7","1","2","7","11","1","BC","MT","AG","BC","MT","AG"
"7","P_00010","7","1","2","7","9","8","BC","MT","AG","BC","MT","AG"
"8","P_00015","7","1","2","7","1","2","BC","MT","AG","BC","MT","AG"
"9","P_00018","8","1","2","8","7","18","BC","MT","AG","BC","RC","MT"
"10","P_00022","7","1","2","7","1","2","BC","MT","AG","BC","MT","AG"
"11","P_00026","13","1","2","13","9","18","BC","MT","AG","BC","RC","MT"
"12","P_00030","7","1","2","7","1","2","BC","MT","AG","BC","MT","AG"
"13","P_00036","7","1","2","7","14","31","BC","MT","AG","BC","PT","UB"
"14","P_00037","7","1","2","7","16","14","BC","MT","AG","BC","PT","MT"
"15","P_00042","7","1","2","7","1","2","BC","MT","AG","BC","MT","AG"
"16","P_00045","7","1","2","7","1","2","BC","MT","AG","BC","MT","AG"
"17","P_01198","7","1","2","7","14","11","BC","MT","AG","BC","PT","MT"
"18","P_00047","7","1","2","7","1","2","BC","MT","AG","BC","MT","AG"
"19","P_00048","7","1","2","7","1","2","BC","MT","AG","BC","MT","AG"
"20","P_00050","11","1","2","7","11","1","BC","MT","AG","BC","MT","AG"
"21","P_00051","7","1","2","7","1","2","BC","MT","AG","BC","MT","AG"
"22","P_00053","7","1","2","7","18","1","BC","MT","AG","BC","RC","MT"
"23","P_00054","7","1","2","7","1","2","BC","MT","AG","BC","MT","AG"
"24","P_00055","7","1","2","7","11","1","BC","MT","AG","BC","MT","AG"
"25","P_00061","7","1","2","7","1","2","BC","MT","AG","BC","MT","AG"
"26","P_00066","7","1","2","7","11","1","BC","MT","AG","BC","MT","AG"
"27","P_00070","7","1","2","7","1","2","BC","MT","AG","BC","MT","AG"
"28","P_00072","7","1","2","7","1","2","BC","MT","AG","BC","MT","AG"
"29","P_00073","7","1","2","7","11","31","BC","MT","AG","BC","UB","MT"
"30","P_00077","7","1","2","7","11","1","BC","MT","AG","BC","MT","AG"
"31","P_00084","7","1","2","7","8","18","BC","MT","AG","BC","RC","MT"
"32","P_00087","8","7","1","7","8","31","BC","MT","AG","BC","UB","MT"
"33","P_00088","7","1","2","7","8","1","BC","MT","AG","BC","MT","AG"
"34","P_00089","7","1","2","7","13","9","BC","MT","AG","BC","MT","AG"
"35","P_00093","8","1","2","8","7","1","BC","MT","AG","BC","MT","AG"
"36","P_00095","8","7","1","7","8","1","BC","MT","AG","BC","AG","MT"
"37","P_00098","8","1","2","7","8","1","BC","MT","AG","BC","MT","AG"
"38","P_00102","7","1","2","8","7","10","BC","MT","AG","BC","MT","AG"
"39","P_00109","7","1","2","7","8","1","BC","MT","AG","BC","MT","AG"
"40","P_00113","8","1","2","7","8","10","BC","MT","AG","BC","MT","AG"
"41","P_00114","7","1","2","7","8","1","BC","MT","AG","BC","MT","AG"
"42","P_00116","7","1","2","7","10","1","BC","MT","AG","BC","MT","AG"
"43","P_00119","7","1","2","7","10","1","BC","MT","AG","BC","MT","AG"
"44","P_00123","7","1","2","7","18","10","BC","MT","AG","BC","RC","MT"
"45","P_00124","8","1","2","8","7","10","BC","MT","AG","BC","MT","AG"
"46","P_00131","7","1","2","7","18","1","BC","MT","AG","BC","RC","MT"
"47","P_00133","7","1","2","7","8","1","BC","MT","AG","BC","MT","AG"
"48","P_00135","7","1","2","7","8","1","BC","MT","AG","BC","MT","AG"
"49","P_00138","8","1","2","8","14","1","BC","MT","AG","BC","PT","MT"
"50","P_00141","8","1","2","7","8","1","BC","MT","AG","BC","MT","AG"
"51","P_00143","7","1","2","7","10","1","BC","MT","AG","BC","MT","AG"
"52","P_00145","8","1","2","8","7","1","BC","MT","AG","BC","MT","AG"
"53","P_00147","7","1","2","7","10","1","BC","MT","AG","BC","MT","AG"
"54","P_00149","7","1","2","7","18","1","BC","MT","AG","BC","RC","MT"
"55","P_00151","7","1","2","7","18","11","BC","MT","AG","BC","RC","MT"
"56","P_00152","7","1","2","7","18","10","BC","MT","AG","BC","RC","MT"
"57","P_00153","7","1","2","7","1","2","BC","MT","AG","BC","MT","AG"
"58","P_00160","7","1","2","7","8","1","BC","MT","AG","BC","MT","AG"
"59","P_00161","7","1","2","7","14","10","BC","MT","AG","BC","PT","MT"
"60","P_00169","15","1","2","14","15","38","BC","MT","AG","PT","BC","AC"
"61","P_00172","7","1","2","7","8","14","BC","MT","AG","BC","PT","AG"
"62","P_00177","9","1","2","9","8","10","BC","MT","AG","BC","MT","AG"
"63","P_00185","7","1","2","7","8","10","BC","MT","AG","BC","MT","AG"
