"","BC","AG","UB","PT","RC","AC","ZH","LT"
"P_00001",0.89058381019739,0,0,0.00827010866070855,0.0273419918986691,0,0,0
"P_00002",0.41887417218543,0,0,0,0.0320436571722497,0,0,0
"P_00003",0.757892368031891,0,0,0.0715939047129171,0,0,0,0
"P_00004",0.672000578666495,0,0,0,0.0233636597441008,0,0,0
"P_00005",0.736047707837716,0,0,0,0.0598035748730149,0,0,0
"P_00006",0.958360123448852,0,0,0,0,0,0,0
"P_00010",1,0,0,0,0,0,0,0
"P_00015",0.976017488587411,0,0,0.0115974410081656,0.0123850704044236,0,0,0
"P_00018",0.968318009387257,0,0,0,0.0316819906127435,0,0,0
"P_00022",0.99020285475471,0,0,0,0.00782003471998971,0,0,0
"P_00026",0.801091429306243,0,0,0.000916221950749052,0.07324953385199,0,0,0
"P_00030",1,0,0,0,0,0,0,0
"P_00036",0.868755224072526,0,0.0316498424741207,0.0982607857005079,0,0,0,0
"P_00037",0.766130328553977,0,0.0299299170578024,0.188797981096894,0,0,0,0
"P_00042",1,0,0,0,0,0,0,0
"P_00045",1,0,0,0,0,0,0,0
"P_01198",0.899143252105703,0.0417765061402945,0,0.0373481000450074,0,0,0,0
"P_00047",0.882112775670289,0,0,0,0.09416993506076,0,0,0
"P_00048",NA,NA,NA,NA,NA,NA,NA,NA
"P_00050",1,0,0,0,0,0,0,0
"P_00051",1,0,0,0,0,0,0,0
"P_00053",0.927570243682891,0,0,0.0124574037163248,0.0599723526007844,0,0,0
"P_00054",NA,NA,NA,NA,NA,NA,NA,NA
"P_00055",0.959252234295634,0,0,0.0407477657043657,0,0,0,0
"P_00061",1,0,0,0,0,0,0,0
"P_00066",0.871085964122677,0,0,0.0514209477271266,0.00429177650614029,0,0,0
"P_00070",NA,NA,NA,NA,NA,NA,NA,NA
"P_00072",NA,NA,NA,NA,NA,NA,NA,NA
"P_00073",0.928325724940526,0,0.0190236610300264,0.0280331768790587,0,0,0,0
"P_00077",1,0,0,0,0,0,0,0
"P_00084",0.883527293769691,0,0,0,0.0393975438822092,0,0,0
"P_00087",0.869068668424098,0.0958014530958658,0.035129878480036,0,0,0,0,0
"P_00088",0.985043078505755,0,0,0.0149569214942455,0,0,0,0
"P_00089",0.920095801453096,0,0,0,0.016122291519321,0,0,0
"P_00093",1,0,0,0,0,0,0,0
"P_00095",0.859826078570051,0.101580081013309,0,0,0.000458110975374526,0,0,0
"P_00098",0.962860862856041,0,0,0.00703240532373176,0,0,0,0
"P_00102",0.78969491416447,0,0,0,0,0,0,0
"P_00109",0.998947148460104,0,0,0,0,0,0,0
"P_00113",0.899882659294027,0,0,0,0,0,0,0
"P_00114",0.988547225615637,0,0,0,0.0114527743843631,0,0,0
"P_00116",0.93660387063589,0,0.00459718382305664,0.00544107246190446,0,0,0,0
"P_00119",0.937013759403331,0,0,0,0,0,0,0
"P_00123",0.914140358773227,0,0,0,0.0748167556098502,0,0,0
"P_00124",0.803912428470392,0,0,0.00381759146145438,0.00427570243682891,0,0,0
"P_00131",0.93869349964637,0,0,0.00420336912492767,0.0455699864977818,0,0,0
"P_00133",1,0,0,0,0,0,0,0
"P_00135",1,0,0,0,0,0,0,0
"P_00138",0.827268051179837,0,0,0.0931170835208641,0,0,0,0
"P_00141",0.993192631646628,0,0,0,0,0,0,0
"P_00143",0.963407381212628,0,0,0.00270848067896869,0,0,0,0
"P_00145",0.970986304892947,0,0,0,0.0290136951070533,0,0,0
"P_00147",0.96140615958336,0,0,0,0.00650999807111168,0,0,0
"P_00149",0.888654921880023,0,0,0.0308863241818299,0.0601732784671768,0,0,0
"P_00151",0.906119398186845,0,0,0,0.093880601813155,0,0,0
"P_00152",0.788617951520607,0,0,0,0.164936025204141,0,0,0
"P_00153",0.957379605220858,0,0,0.0129798109689449,0.0296405838101974,0,0,0
"P_00160",1,0,0,0,0,0,0,0
"P_00161",0.8076657236546,0.0222545489616151,0.0237815855461969,0.0947244904520028,9.64444158683212e-05,0,0,0
"P_00169",0.336759789108211,0.0687568314794573,0.0594740564521314,0.428381984183116,0.00792451617051373,0.0669726097858934,0,0
"P_00172",0.812254870443001,0.104585931974539,0,0.00518388735292227,0,0,0,0
"P_00177",0.772334919308172,0,0,0.00343985083263679,0,0,0,0
"P_00185",0.964556677168392,0,0,0,0.00129396257956664,0,0,0
"P_00187",0.990275188066611,0,0,0,0,0,0,0
"P_00190",0.986642448402238,0,0,0,0,0,0,0
"P_00192",0.94425512762811,0.0308863241818299,0,0.00219411046100431,0.00295762875329518,0,0,0
"P_00200",0.95967016009773,0,0,0.0133816627017296,0.0269481772005401,0,0,0
"P_00201",1,0,0,0,0,0,0,0
"P_00203",0.983765189995499,0,0,0,0,0,0,0
"P_00204",0.782075805310873,0.0634764997106668,0,0,0.0917347135600849,0,0,0
"P_00207",0.978235710152382,0,0.000466148010030219,0.00543303542724876,0.00131003664887803,0.0106651449881052,0,0
"P_00211",NA,NA,NA,NA,NA,NA,NA,NA
"P_00212",0.973477785636212,0,0,0.0142014402366103,0,0,0,0
"P_00216",0.901747251334148,0,0,0,0,0,0,0
"P_00219",0.928711502603999,0,0,0.0712884973960008,0,0,0,0
"P_00221",0.891427698836237,0.0226564006943998,0,0.0173841059602649,0,0,0,0
"P_00227",0.931982575708866,0,0,0.00708866456632161,0.0427972095415675,0,0,0
"P_00231",0.990082299234874,0,0,0.000401851732784672,0.000458110975374526,0,0,0
"P_00234",0.703779013695107,0,0,0.293383913071433,0,0,0,0
"P_00236",0.911544396579438,0.0507056516427699,0,0.00872018260142738,0.020711438307722,0,0,0
"P_00237",0.869896482993635,0,0,0,0.105212820677683,0,0,0
"P_00242",0.952091236417411,0.00240307336205234,0,0.0455056902205362,0,0,0,0
"P_00244",0.985035041471099,0,0,0.00794059023982511,0.00702436828907606,0,0,0
"P_00245",0.962057159390471,0,0,0.0115652928695429,0,0,0,0
"P_00246",0.793906320324053,0,0,0.122540667395358,0.0182440686684241,0,0,0
"P_00249",0.717257120812705,0,0.0434883945219572,0.12662348100045,0.0285636211663345,0,0,0
