"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"P_00001",0,0,0,0,0,0,0.738310297237728,0,0,0.105294868889942,0.091133334706573,0,0,0.0294559911014069,0,0,0,0.03580550806435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00002",0,0,0,0,0,0,0.32505098152306,0.0974262055327827,0,0.46852019692257,0.00303829278843183,0,0,0,0,0,0,0.105964323233155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00003",0,0,0,0,0,0,0.752734463509589,0.00300739489566812,0,0.173059097369559,0.00868745751539745,0,0,0.0525058191031372,0,0,0,0.0100057676066492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00004",0,0,0,0,0,0,0.339531793931654,0.36105217624158,0,0.246225307434033,0.0030846396275774,0,0,0,0,0,0,0.0501060827651554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00005",0,0,0,0,0,0,0.0228335427523843,0.695815395390034,0,0.240447401487219,0,0,0,0,0,0,0,0.0409036603703627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00006",0,0,0,0,0,0,0.758084948606505,0,0,0.0981677549591118,0.143747296434383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00010",0,0,0,0,0,0,0.451788987991019,0.186206150740519,0.327306527694811,0.00170968339959215,0,0,0,0,0.0329886501740581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00015",0,0,0,0,0,0,0.974869713885513,0,0,0.00783776546439533,0,0,0,0.00819824087997199,0,0,0,0.00909427977011968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00018",0,0,0,0,0,0,0.284734381115208,0.607957237316415,0,0.00144705131110058,0,0,0,0.00339361855521453,0,0.0506004490493748,0,0.0518672626526871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00022",0,0,0,0,0,0,0.869296763960698,0.0412641357859394,0,0.0347034832224442,0.0293581477743218,0,0,0.0087904504912765,0,0,0,0.0165870187653202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00026",0,0,0,0,0,0,0.392820359651472,0,0.200836302964138,0.102864234659196,0.0977969802459472,0,0.139570931262488,0.00764207881022514,0,0.00785836405957114,0,0.0506107483469627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00030",0,0,0,0,0,0,0.958205450388284,9.78433270850928e-05,0,0.00542258018003172,0.0334984654046594,0,0,0,0,0,0,0.00277566069994026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00036",0,0,0,0,0,0,0.815297546707315,0,0,0.000854841699796074,0.0246359198302676,0,0,0.121830391167322,0,0.00491276494943045,0,0,0,0,0,0,0,0.00930026572187777,0,0,0,0,0,0,0.0231682699239912,0,0,0,0,0,0,0,0,0,0
"P_00037",0.00918182379961687,0,0,0,0,0,0.634040208457783,0,0,0.0295332358333162,0.0483346035800358,0,0,0.140765649782685,0,0.111036727295198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271077512513647,0,0,0,0,0,0,0,0,0,0
"P_00042",0,0,0,0,0,0,0.935892022164088,0,0,0,0,0,0,0,0,0.0641079778359116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00045",0,0,0,0,0,0,0.988171256720292,0,0,0,0.0118287432797083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_01198",0.0773374255875749,0,0,0,0,0,0.839897418996024,0.00580880383957814,0,0.014125486641811,0.0389004469895153,0,0,0.0239304179454961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00047",0,0,0,0,0,0,0.852807588522463,0,0,0.0239201186479082,0.0378087214451974,0,0,0,0,0.00159124147733125,0,0.0838723299071003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_00050",0,0,0,0,0,0,0.72950439780007,0,0,0,0.27049560219993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00051",0,0,0,0,0,0,0.982156466928955,0,0,0,0.0178435330710446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00053",0,0,0,0,0,0,0.935526397099718,0,0,0,0,0,0,0.0103198961830803,0,0,0,0.0541537067172019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00054",0,0,0,0,0,0,0.997847446804128,0,0,0,0,0,0,0.00215255319587204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00055",0,0,0,0,0,0,0.857560714359281,0,0,0,0.0377211774157002,0,0,0.0633973263023462,0,0.0413207819226729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00061",0,0,0,0,0,0,0.968571693410509,0,0,0,0.0235905411250953,0,0,0,0,0,0,0.00783776546439533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00066",0,0,0,0,0,0,0.741333141079778,0,0,0.0695563062599131,0.112385935279214,0,0,0.0510433188456547,0,0,0,0.0256812985354399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00070",0,0,0,0,0,0,0.981801141162173,0.000540713123364986,0,0.0174779080066739,0,0,0,0,0,0,0,0.000180237707788329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00072",0,0,0,0,0,0,0.980647619832327,0,0,0,0.0193523801676726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00073",0,0,0,0,0,0,0.787412198488063,0,0,0.0234772488516283,0.121366922775867,0,0,0.0350176117988753,0,0.0181834098914454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145426081941212,0,0,0,0,0,0,0,0,0,0
"P_00077",0,0,0,0,0,0,0.866603497641461,0,0,0,0.124997425175603,0,0,0.00839907718293612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00084",0,0,0,0,0,0,0.385785939398933,0.502961048056523,0,0.0725070550188477,0.013378787566688,0,0,0,0,0,0,0.0253671699590088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00087",0.0906441180711475,0,0,0,0,0,0.754887016705461,0.122911817414052,0,0,0,0,0,0.00282200753908583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287350402702536,0,0,0,0,0,0,0,0,0,0
"P_00088",0,0,0,0,0,0,0.811589799575669,0.0671050734339918,0,0,0.100181267637547,0,0,0.0211238593527921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00089",0,0,0,0,0,0,0.580931880445754,0.163310812202608,0.0749634374935629,0.0757822316518013,0,0,0.0609821410179826,0,0,0,0,0.0440294971882918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00093",0,0,0,0,0,0,0.174428903948751,0.803020783982532,0,0.0225503120687169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00095",0.126032504583187,0,0,0,0,0,0.4683245102684,0.315843409479473,0,0.0756122932416009,0,0,0,0.00913032731167734,0,0,0,0.00505695511566111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00098",0.0115300636496591,0,0,0,0,0,0.610681401528416,0.233505674912971,0,0.0324170391579294,0.100994912146992,0,0,0.00980493130368509,0,0,0,0.00106597730034812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
