"","BC","AG","UB","PT","RC","AC","ZH","LT"
"P_00001",0.69353289037444,0.124402885096824,0.0112859791331177,0.138070557668106,0.0309349499979701,6.76617454023844e-05,0.00170507598414009,0
"P_00002",0.662857778089822,0.107994570432259,0.0134627536333638,0.136827447401063,0.0747033630555361,0.000988789814879824,0.00291956282618362,0.000245734746893211
"P_00003",0.659071386590714,0.105621863556219,0.0172363126723631,0.140422261404223,0.0726016094760161,0.00218703377187034,0.00265608752656088,0.00020344500203445
"P_00004",0.652811108523853,0.112130701933632,0.0157437284076167,0.14179572595553,0.0754824575993309,0.000667670945146436,0.00136860663489092,0
"P_00005",0.676587072944402,0.118571801139017,0.0130944510823088,0.151122944704905,0.0365358838906107,0.00194081720534453,0.00214702903341238,0
"P_00006",0.784361619790816,0.0976617696136559,0.0140308024397691,0.0742652645331705,0.0230627764799443,0.00190296308393629,0.00471480405870783,0
"P_00010",0.789525530499818,0.0934570643376125,0.0115762526823025,0.0718355105472524,0.0245767922799885,0.00157487231612895,0.00745397733689719,0
"P_00015",0.799951541164051,0.0861586565364624,0.0287926250266812,0.0500279792088518,0.0258216368702515,0.0050247197752433,0.00422284141845936,0
"P_00018",0.776143841550884,0.107465850043321,0.0367265688214416,0.0594255789918393,0.0155432128527476,0.00206940502815298,0.0021792004506386,0.000446342260974172
"P_00022",0.786693715231484,0.103426279251529,0.0362397131166383,0.0511068456622684,0.015757896188681,0.00195393315249874,0.00363201691876236,0.00118960047813894
"P_00026",0.833333333333333,0,0,0,0.166666666666667,0,0,0
"P_00030",NA,NA,NA,NA,NA,NA,NA,NA
"P_00036",0.699874695158922,0.189142941834301,0.0292310594322209,0.0538945553025506,0.0166332071302497,0.00666271439927781,0.00373893477411445,0.000821891968363896
"P_00037",0.701653138147297,0.188445236866388,0.0261264642862729,0.0548413331456545,0.0185254695882013,0.00585714509141525,0.00376139758207041,0.000789815292700856
"P_00042",0.717203686608935,0.169260187260978,0.0271587029466497,0.0405072750450569,0.0237519597931045,0.0145574164432136,0.00756077190206163,0
"P_00045",0.714405381202016,0.178015857842891,0.0280807582785788,0.0413073664510027,0.0175432418019178,0.0145497720938189,0.00562470442631033,0.000472917903464375
"P_01198",NA,NA,NA,NA,NA,NA,NA,NA
"P_00047",0.718321285875499,0.172641595754415,0.0320858876993931,0.0378076676731631,0.0169579406472077,0.0147192484826303,0.00627687803092689,0.00118949583676457
"P_00048",NA,NA,NA,NA,NA,NA,NA,NA
"P_00050",0.742516578427452,0.125936360326376,0.023511224386255,0.0576708428585924,0.0354250105946746,0.00804598387221927,0.00567635805821998,0.00121764147621122
"P_00051",0.936507936507937,0,0,0.0634920634920635,0,0,0,0
"P_00053",0.883233532934132,0,0,0.0159680638722555,0.100798403193613,0,0,0
"P_00054",NA,NA,NA,NA,NA,NA,NA,NA
"P_00055",0.958156028368794,0,0,0.0418439716312057,0,0,0,0
"P_00061",0.680973123058051,0.158139842366993,0.0253637826045439,0.0975032870815857,0.0302852231910033,0.00588369240261791,0.00181432212664997,3.67271685556674e-05
"P_00066",0.696725755890638,0.174995397446276,0.0301826646390211,0.0657269891228415,0.0254060965552723,0.00548775720709474,0.000945730217215316,0.000529608921640577
"P_00070",0.692799447337655,0.177324901689871,0.0337124030183866,0.0645392709108301,0.0249707726644702,0.00552662344563716,0.000175364013178871,0.000951216919970241
"P_00072",0.754102727779928,0.153925801571225,0.0229074203455087,0.0428040793554257,0.0215980658748549,0.00412408960910366,0,0.000537815463953798
"P_00073",0.751320943391012,0.152706834735723,0.0250093590378155,0.0419887892545683,0.0243636482408778,0.00408280173161043,0,0.000527623608392733
"P_00077",0.717312404779278,0.105168836292851,0.0197940261400936,0.130522207670898,0.0254056610724616,0.000819997480587451,0.000976866563830268,0
"P_00084",0.662029496418929,0.108960485508378,0.0146031816863384,0.139505566835494,0.0712644191079676,0.00121600214194873,0.0024208483009438,0
"P_00087",NA,NA,NA,NA,NA,NA,NA,NA
